Star,RA(deg),DEC(deg),RUWE,AEN(mas),Solution_type,Period(days),Period_error(days),T_periastron (days),T_periastron_error(days),eccentricity,eccentricity_error
BD+042056,132.6738496,4.021778043,3.777,0.617,AstroSpectroSB1,487.0456535,1.9428817,-103.803152,12.360545,0.08995793104,0.0162018
BD+092859,213.2129713,9.26764411,2.053,0.222,AstroSpectroSB1,291.8697955,1.2549359,81.12686983,3.2879245,0.3467959402,0.057988666
BD+094824,322.0810893,10.43322132,2.442,0.291,AstroSpectroSB1,629.9452907,8.557844,-280.2949258,80.08477,0.02400901115,0.023311434
BD+205422,0.79138727,21.37028277,1.873,0.23,AstroSpectroSB1,429.6915706,3.7282388,85.37064717,7.8848147,0.2690722595,0.039078373
BD+222225,157.4695739,22.06716756,3.002,0.398,AstroSpectroSB1,548.2636229,2.3116217,-233.8011031,8.239293,0.2758481364,0.035713013
BD+222754,222.5652432,21.89707591,4.808,0.563,AstroSpectroSB1,198.5741366,0.17136197,25.27544567,0.72878116,0.4443109752,0.008356442
BD+232504,192.6679369,23.09617536,9.464,1.338,Orbital,804.6540921,13.013553,44.07542112,3.65583,0.5352963274,0.023462895
BD+365072,352.4943558,37.21274322,2.769,0.353,Orbital,232.2102162,0.7515174,-19.2833487,28.806194,0.05345728113,0.03882358
BD+381990,135.6982526,38.11915271,7.266,1.062,Orbital,855.0952859,12.715073,-117.3586534,6.9395804,0.7588651936,0.025393017
BD+401982,120.3958199,39.85986092,9.242,1.201,AstroSpectroSB1,737.3159407,5.0241194,-64.11246648,4.019328,0.5140570117,0.025756627
BD+403329,274.1936237,41.04165793,5.386,0.856,AstroSpectroSB1,429.2609552,1.2166554,-15.57481959,6.018575,0.1499587872,0.011922319
BD+472637,276.7535449,47.36953583,3.232,0.487,Orbital,267.9511104,0.9792468,-10.96406846,3.900293,0.4237036493,0.041908555
BD+591328,161.8008588,58.32238295,3.12,0.41,AstroSpectroSB1,261.2826265,0.2098168,55.19507573,0.91144437,0.3330151307,0.006303251
BD+67848,220.5389157,67.28872579,6.357,0.781,AstroSpectroSB1,465.1511595,1.1713759,189.1917561,1.6254007,0.7349879938,0.008892045
BD+75456,176.0294948,74.43163003,1.656,0.174,AstroSpectroSB1,146.5611912,0.23733503,-44.4399993,1.328676,0.2650582619,0.014128729
BD+81506,228.7287956,81.03033975,2.572,0.312,AstroSpectroSB1,318.1101728,0.49922103,49.74407984,2.2730823,0.2223674812,0.012547363
BD+81701,302.9496537,81.56893095,2.222,0.255,AstroSpectroSB1,160.8779803,0.18153377,0.02542376174,1.8562992,0.151955478,0.011769801
BD+81819,350.1451592,81.8027079,1.698,0.193,AstroSpectroSB1,489.3863774,4.616217,231.339654,8.876145,0.3383573265,0.038015086
BD-023896,221.8242961,-3.034318035,2.867,0.364,AstroSpectroSB1,291.405961,1.0588793,140.9895787,2.261755,0.3472810538,0.022566099
BD-093374,177.5517402,-10.66401189,3.855,0.438,Orbital,286.1254755,1.0667945,-111.8091816,5.436424,0.5018835579,0.044260174
BD-1119,2.768809253,-10.87786113,4.458,0.422,AstroSpectroSB1,758.5620709,2.9878747,298.9920982,109.96381,0.01834792527,0.010297205
BD-17922,69.61044335,-16.78222983,3.873,0.5,Orbital,832.7307955,26.200344,-39.25648808,13.444908,0.5633466856,0.06299081
CD-251745,62.20065414,-24.78546878,5.415,0.713,AstroSpectroSB1,663.870236,2.539274,-285.2290909,32.035114,0.05040913252,0.014417247
CD-288377,160.5948457,-28.8366649,1.59,0.178,AstroSpectroSB1,271.6512175,1.0836008,88.20601495,1.8473167,0.4767246559,0.019071508
CD-297100,136.181261,-29.97725638,10.221,1.302,AstroSpectroSB1,890.8514811,8.939629,86.27158657,2.394953,0.3918725619,0.010163358
CD-3018265,313.7785754,-29.78152062,7.218,0.981,AstroSpectroSB1,479.7333701,1.1422393,-183.0166353,1.8108083,0.4248701165,0.009307667
CD-308696,161.3185724,-31.31999353,1.557,0.176,AstroSpectroSB1,670.4163312,11.386809,-98.46356341,15.950493,0.2521425463,0.06639361
CD-353018,99.23887013,-35.15086169,4.124,0.716,AstroSpectroSB1,621.1710166,4.892933,87.81781171,4.0483503,0.4074709896,0.020195296
CD-5477,5.723548874,-53.98060973,2.491,0.331,AstroSpectroSB1,518.2679041,2.0815413,-113.1198592,69.38277,0.01749762817,0.017488709
CD-79305,120.1785916,-79.86075878,2.945,0.388,AstroSpectroSB1,383.62107,0.62833893,100.2032476,1.157929,0.6182028146,0.004652357
HD100030,172.7192092,47.92859354,3.132,0.503,Orbital,372.7151664,0.5366979,-136.9095651,3.9987488,0.2962950058,0.02160615
HD10319,24.64567713,-68.05788148,4.018,0.538,Orbital,417.4725845,2.6890266,-84.4072871,28.16457,0.1181390741,0.046783157
HD103433,178.6461133,-9.715751399,2.318,0.478,AstroSpectroSB1,602.1894853,3.3247712,235.8215959,1535.4507,0.0006414687787,0.008051108
HD104116,179.8729685,-28.94740893,3.057,0.403,AstroSpectroSB1,434.4786636,2.126825,-66.40821876,12.695341,0.1922026682,0.026638892
HD104653,180.7705082,-82.78842942,4.152,0.527,AstroSpectroSB1,230.4066823,0.18657397,105.2855987,1.3549304,0.1422439504,0.0058538164
HD122602,210.6403006,19.13711033,2.19,0.337,AstroSpectroSB1,435.0935085,2.640143,184.2146128,2.4660687,0.467285502,0.027151767
HD123338,211.3239663,56.52068986,10.168,1.793,AstroSpectroSB1,580.0828365,1.0240998,-100.1344431,1.750978,0.3871757397,0.008321741
HD137608,231.1951939,51.66689303,3.648,0.754,AstroSpectroSB1,146.0789992,0.044250734,35.32444513,0.5840966,0.1286471004,0.0035361943
HD138609,233.103857,23.02179333,3.872,0.561,AstroSpectroSB1,502.8458797,0.74289477,12.00155229,0.6764322,0.5753626361,0.005653036
HD148435,246.8492899,19.5330656,6.128,0.912,AstroSpectroSB1,809.5985157,9.12317,161.3444632,5.3899527,0.473280003,0.017329473
HD155046,257.2701555,4.614911376,4.55,0.782,AstroSpectroSB1,898.5227852,7.805503,-400.6112059,8.4591465,0.1855194633,0.010721342
HD158347,265.499128,-80.66235545,2.229,0.277,AstroSpectroSB1,272.5029576,0.62061775,-10.78323318,1.6331681,0.6430334611,0.013098684
HD181405,290.8979099,-57.33269889,3.312,0.416,AstroSpectroSB1,688.6516036,6.096312,234.1426304,38.539017,0.07550077536,0.03219099
HD182393,291.5747549,-41.88888004,5.635,0.729,Orbital,559.3240513,2.859174,-211.2881421,8.179985,0.5928769246,0.06891659
HD183249,292.7704846,-49.28956333,4.444,0.5,AstroSpectroSB1,423.6936168,0.4870708,41.85568724,2.0021713,0.3534748323,0.009263146
HD185051,295.4509765,-65.29630735,6.96,0.796,AstroSpectroSB1,552.9155071,1.7075973,-185.9438115,2.9741673,0.4266658908,0.008961527
HD186355,295.3972461,49.69548266,9.527,1.892,AstroSpectroSB1,554.0772214,0.9712519,-232.8026958,1.5863616,0.3370351009,0.00573134
HD196848,308.871242,69.67949626,10.948,2.111,AstroSpectroSB1,853.360234,10.373828,266.2857977,117.48737,0.02804692891,0.018881164
HD202249,317.8923426,64.19325168,2.679,0.554,AstroSpectroSB1,467.6414335,1.3732958,19.4592193,3.3648062,0.2425799631,0.013884983
HD206757,326.3485465,-41.98418929,2.051,0.288,AstroSpectroSB1,162.9294183,0.08435751,-17.83327479,0.7417917,0.166393642,0.0033775114
HD213223,338.426515,-77.14448029,6.969,1.216,AstroSpectroSB1,707.0936799,1.7475544,-100.7444064,1.0685092,0.4697813285,0.0033266912
HD219280,348.6772247,-14.44643851,5.97,0.905,Orbital,833.9225529,38.82752,-353.9757164,11.970972,0.3956520784,0.06988363
HD236266,0.0499676354,51.28304112,3.86,0.534,Orbital,191.4428085,0.2961264,27.43621937,1.3407754,0.6892392396,0.042558596
HD237553,103.0257207,55.84502051,4.022,0.367,Orbital,859.7700667,92.23737,87.9709393,37.116386,0.1755023781,0.11325688
HD352852,310.9327822,20.20817703,2.355,0.32,AstroSpectroSB1,520.3027816,5.5515795,90.89009797,42.920372,0.04051104005,0.053366736
HD4952,12.90134277,8.314028839,4.248,0.616,Orbital,530.4413059,2.6210241,83.58425623,14.051557,0.3436469186,0.043526705
HD71562,126.9806968,-6.033278268,2.914,0.47,AstroSpectroSB1,489.3215789,1.6372428,70.5371551,5.065285,0.162051805,0.007635165
HD75614,133.8821091,70.13489086,8.937,1.318,AstroSpectroSB1,780.4940204,1.6343114,-21.55900332,88.20154,0.008177405238,0.0053658197
HD80070,139.1818825,-29.95163383,5.361,0.808,Orbital,476.6416229,1.1691103,141.6477464,249.83582,3.48E-12,
HD85673,148.5036766,27.29082878,6.238,0.856,Orbital,559.9412047,3.2806542,-104.422519,10.134302,0.2734090513,0.0238776
HD85842,148.9415742,45.18132446,3.587,0.725,AstroSpectroSB1,237.8979566,0.23600097,-98.07639429,0.8584929,0.329872216,0.010263689
TYC3239-311-1,354.4400435,41.56284661,4.961,0.641,AstroSpectroSB1,897.4257579,20.57312,-108.7745961,6.4835176,0.4413522369,0.037025202
TYC3791-799-1,117.7529423,57.99463173,2.701,0.315,AstroSpectroSB1,492.6485985,2.629496,150.7230974,49.123383,0.04699819792,0.024948215
TYC3858-798-1,213.2517102,59.3813706,4.969,0.715,AstroSpectroSB1,730.7787642,2.516303,126.808939,4.6995316,0.2188010699,0.011798539
TYC4150-736-1,154.3342662,67.17710684,4.696,0.576,Orbital,497.4237407,1.6514747,128.618862,3.8610244,0.4453432619,0.024982948
TYC4382-1015-1,138.0325161,73.94257885,4.643,0.564,AstroSpectroSB1,462.5505337,1.2349676,-101.6658216,1.4196348,0.5172664966,0.010292599
TYC4402-551-1,206.3685897,69.47389769,1.657,0.205,AstroSpectroSB1,230.2243569,0.9145738,-63.72287981,14.941402,0.1795638347,0.0540625
TYC4530-330-1,108.3478726,78.2238364,2.611,0.34,AstroSpectroSB1,239.6303692,0.74681604,-24.55011027,53.414715,0.02866165851,0.039980773
