Star,RA(deg),DEC(deg),RUWE,AEN(mas),Solution_type
BD+11208,24.5643058,12.37920099,1.092,0.095,FirstDegreeTrendSB1
BD+31406,35.40737446,32.01977727,1.113,0.103,FirstDegreeTrendSB1
BD+461143,96.89706125,46.07034501,1.543,0.162,SecondDegreeTrendSB1
BD+492859,281.4305732,49.25219585,1.049,0.091,FirstDegreeTrendSB1
BD+531785,232.4693588,52.70458965,1.34,0.126,FirstDegreeTrendSB1
BD+69721,207.2560554,68.64632594,1.628,0.175,SecondDegreeTrendSB1
BD+72397,122.3623171,71.80019179,3.166,0.426,SecondDegreeTrendSB1
BD-002151,138.1501205,-0.802823972,1.189,0.122,FirstDegreeTrendSB1
BD-034945,308.5609197,-3.389289631,1.086,0.096,FirstDegreeTrendSB1
BD-092832,141.5321087,-9.990008293,1.1,0.097,SecondDegreeTrendSB1
CD-34417,16.41429682,-33.77529774,1.211,0.115,FirstDegreeTrendSB1
CD-3814089,308.2475112,-38.38172411,0.983,0.067,SecondDegreeTrendSB1
CD-39989,50.26178026,-39.55873992,1.252,0.122,SecondDegreeTrendSB1
CD-4216530,359.2872313,-41.49241076,1.255,0.119,SecondDegreeTrendSB1
CD-529127,292.3293107,-52.07941569,1.063,0.082,FirstDegreeTrendSB1
HD30013,69.82064221,-65.27811058,1.857,0.237,SecondDegreeTrendSB1
HD305,1.917513852,-7.92136902,1.06,0.145,FirstDegreeTrendSB1
HD40525,89.06918175,-54.16679004,1.319,0.207,FirstDegreeTrendSB1
HD43977,93.67731282,-63.30272881,0.994,0.067,SecondDegreeTrendSB1
HD64329,118.5419115,18.53802399,1.033,0.09,FirstDegreeTrendSB1
HD67872,122.9794724,45.20933283,1.149,0.16,SecondDegreeTrendSB1
HD75696,134.2873522,73.99984124,1.295,0.189,FirstDegreeTrendSB1
TYC2692-173-1,314.6807195,33.54864908,1.147,0.1,SecondDegreeTrendSB1
TYC3363-1956-1,82.92866109,48.31852913,0.919,0.055,FirstDegreeTrendSB1
TYC357-471-1,238.1982508,2.297297011,1.36,0.102,FirstDegreeTrendSB1
TYC3767-865-1,104.0186708,53.09384631,1.146,0.087,SecondDegreeTrendSB1
TYC4503-1006-1,35.14143122,78.89956735,1.006,0.074,FirstDegreeTrendSB1
CD-77170,70.46427237,-77.56046398,1.15,0.093,FirstDegreeTrendSB1
HD108161,186.4080436,-18.16403396,1.14,0.102,SecondDegreeTrendSB1
HD111978,193.3008051,-16.59224677,2.321,0.4,FirstDegreeTrendSB1
HD115066,198.7678542,-30.18149385,1.184,0.167,FirstDegreeTrendSB1
HD115926,198.7320946,82.09756525,1.184,0.144,FirstDegreeTrendSB1
HD11676,28.58735914,-11.85066122,1.13,0.168,FirstDegreeTrendSB1
HD118874,204.8560244,17.59509598,1.005,0.098,FirstDegreeTrendSB1
HD171303,278.3300972,20.97802617,1.321,0.226,SecondDegreeTrendSB1
HD184798,294.3982114,-36.60312544,1.084,0.111,FirstDegreeTrendSB1
HD18942,45.6157543,-13.53160896,1.159,0.152,FirstDegreeTrendSB1
