Star_name,RA(deg),DEC(deg),S/N,Teff(K),Teff_error(K),logg(cgs),logg_error(cgs),[Fe/H],[Fe/H]_error,microturbulent_vel(km/s),microturbulent_vel_err(km/s),macroturbulent_vel(km/s),macroturbulent_vel_err(km/s),vsini(km/s),vsini_err(km/s),Mass(Msun),Mass_err_upper(Msun),Mass_err_lower(Msun),Radius(Rsun),Radius_err_upper(Rsun),Radius_err_lower(Rsun),logL(Lsun),logL_err_upper(Lsun),logL_err_lower(Lsun),Age(Gyr),Age_err_upper(Gyr),Age_err_lower(Gyr),EEP,EEP_err_upper,EEP_err_lower,Prob_MS,Prob_RGB,Prob_HB
HD116338,200.9671435,-49.82281085,62,5126,50,3.12,0.116,0.15,0.043,1.341,0.053,3.484,0.432,5.274,0.441,2.57,0.033,0.044,8.56,0.108,0.109,1.64,0.009,0.01,0.58,0.02,0.013,527.25,1.21,1.24,0,0.983,0.017
HD36787,82.89008514,-50.06490571,64,4739,56,2.792,0.136,0.11,0.043,1.187,0.084,3.283,0.513,5.069,0.517,1.24,0.085,0.08,6.94,0.117,0.121,1.31,0.014,0.014,5.31,1.295,0.994,506.65,0.86,0.67,0,1,0
HD9525,23.23351866,-36.86523481,63,4709,55,2.558,0.132,0.04,0.043,1.129,0.085,3.657,0.562,5.687,0.566,1.44,0.125,0.126,8.58,0.309,0.294,1.51,0.021,0.021,3.07,1.052,0.733,514.17,1.26,1.5,0,1,0
HD190574,301.4826985,-8.123304471,52,4793,52,2.892,0.134,0.06,0.043,1.214,0.073,3.198,0.49,4.962,0.51,0.98,0.029,0.016,5.15,0.076,0.076,1.05,0.011,0.011,12.59,0.652,1.171,499.61,0.52,0.57,0,1,0
HD202470,319.2443305,-31.04306644,63,4726,56,2.918,0.13,0.13,0.043,1.043,0.095,3.035,0.481,5.029,0.49,1.21,0.116,0.096,5.78,0.145,0.134,1.17,0.024,0.023,5.83,1.973,1.54,501.1,1.15,1.03,0,1,0
HD2132,6.342108829,-39.26037697,57,4911,50,2.896,0.095,-0.37,0.044,1.218,0.041,3.414,0.46,4.687,0.477,1.49,0.092,0.094,8.97,0.129,0.123,1.61,0.012,0.012,2.11,0.459,0.339,518.58,0.66,0.76,0,1,0
HD8410,20.67939884,-36.59652226,71,4897,50,2.882,0.092,-0.04,0.042,1.074,0.054,3.41,0.461,5.074,0.464,1.42,0.11,0.104,6.17,0.17,0.158,1.28,0.018,0.016,2.96,0.863,0.636,503.44,1.02,1.23,0,1,0
*14SER,234.1404549,-0.5615310608,69,4957,59,2.744,0.129,-0.09,0.044,0.3,0.278,3.783,0.525,5.19,0.542,2.28,0.119,0.13,9.92,0.161,0.152,1.76,0.013,0.012,0.83,0.178,0.165,669.28,1.11,2.61,0,0.003,0.997
*BCAP,322.1808363,-21.80717976,66,5191,50,3.036,0.104,0.02,0.043,1.322,0.044,3.795,0.442,5.461,0.45,2.58,0.04,0.039,8.62,0.27,0.268,1.69,0.02,0.02,0.55,0.018,0.017,527.65,2.15,2.45,0,0.994,0.006
*PI.SCL,25.53595557,-32.32698755,65,4858,50,2.723,0.109,-0.14,0.042,1.226,0.051,3.622,0.508,5.056,0.516,1.68,0.109,0.106,9.08,0.235,0.24,1.61,0.015,0.015,1.63,0.353,0.276,516.52,1.39,1.29,0,0.985,0.015
*TAUCET,26.01701307,-15.93747989,66,5459,55,4.559,0.112,-0.48,0.05,0.935,0.1,1.781,0.284,2.076,0.468,0.77,0.019,0.017,0.77,0.034,0.036,-0.32,0.048,0.048,8.82,3.189,4.92,353.09,21.73,22.15,1,0,0
BD+002249,124.4264993,-0.416074362,36,4927,57,2.364,0.154,-0.05,0.043,1.407,0.07,4.41,0.627,3.545,0.782,0.89,0.012,0.009,10.29,0.066,0.051,1.67,0.004,0.003,13.06,0.308,0.45,660.9,0.72,0.9,0,0,1
BD+002251,124.4803229,0.3420648204,38,4889,51,3.066,0.119,0.07,0.043,1.154,0.069,3.062,0.442,3.788,0.504,2.08,0.042,0.051,8.53,0.16,0.162,1.54,0.023,0.02,1.09,0.047,0.083,532.5,110.93,15.31,0,0.7,0.3
BD+003544,248.2643749,0.07541234363,60,4875,50,2.778,0.118,-0.34,0.044,1,0.074,3.555,0.503,4.916,0.509,0.9,0.015,0.01,5.27,0.114,0.104,1.12,0.016,0.016,13.01,0.357,0.658,501.28,0.73,0.71,0,1,0
BD+003575,251.5130176,-0.03284304365,63,4802,50,2.873,0.095,0,0.042,1.126,0.054,3.248,0.464,5.048,0.469,1.11,0.082,0.074,6.61,0.316,0.278,1.28,0.04,0.037,7.35,1.938,1.502,506.28,1.3,1.24,0,1,0
BD+003886,273.5194936,0.4065605011,63,4749,60,2.908,0.145,0.19,0.043,1.182,0.092,3.091,0.499,5.162,0.505,1.57,0.118,0.144,7.31,0.221,0.204,1.38,0.028,0.028,2.51,0.953,0.523,507.21,1.45,2,0,1,0
BD+004462,304.1593334,0.9414947966,29,5519,300,3.332,0.243,-0.05,0.151,0.815,1,4.187,0.484,0,0,1.94,0.053,0.06,5,0.111,0.091,1.25,0.023,0.022,1.15,0.043,0.031,489.23,3.19,2.96,0,1,0
BD+023359,263.9031992,2.324258368,62,4921,50,2.966,0.096,-0.11,0.043,1.176,0.049,3.308,0.445,5.033,0.45,1.35,0.082,0.082,7.05,0.137,0.125,1.38,0.015,0.014,3.43,0.744,0.564,508.06,0.77,0.78,0,1,0
BD+02694,65.58962868,3.089162607,36,5170,50,3.399,0.117,-0.02,0.045,1.14,0.069,3.086,0.38,3.93,0.486,1.8,0.06,0.075,4.73,0.114,0.107,1.15,0.026,0.026,1.41,0.164,0.105,489.15,1.53,1.49,0,1,0
BD+0431,4.85046764,4.945994579,27,4935,82,3.129,0.205,-0.09,0.046,1.2,0.125,3.042,0.541,4.451,0.722,1.18,0.09,0.092,5.53,0.135,0.126,1.17,0.02,0.019,5.44,1.681,1.178,499.76,1.24,1.07,0,1,0
BD+05136,15.4406984,6.755533664,25,5062,102,3.055,0.211,-0.12,0.048,0.696,0.299,3.45,0.584,3.951,0.723,2.09,0.134,0.058,8.27,0.315,0.757,1.6,0.033,0.063,0.92,0.077,0.165,644.6,6.64,116.99,0,0.335,0.665
BD+0696,11.16638184,6.903043449,32,4870,62,2.871,0.148,-0.15,0.045,1.16,0.086,3.379,0.513,3.304,0.674,1.09,0.149,0.108,5.29,0.368,0.553,1.14,0.059,0.095,6.98,3.24,2.484,499.02,2.25,3.26,0,1,0
BD+084680,322.2878736,8.815995284,27,4700,76,2.785,0.187,0.13,0.044,1.228,0.119,3.233,0.571,4.272,0.727,1.29,0.076,0.057,7.74,0.139,0.135,1.39,0.016,0.014,4.83,0.796,0.805,509.99,0.7,0.6,0,1,0
BD+09139,18.53531672,10.76148602,36,4889,64,2.994,0.152,0.09,0.043,1.013,0.112,3.193,0.493,3.381,0.592,1.44,0.103,0.121,5.78,0.14,0.143,1.21,0.021,0.022,3.12,1.097,0.628,500.65,1.09,1.2,0,1,0
BD+124422,310.0872668,12.56261542,64,4697,56,2.917,0.131,0.14,0.043,1.11,0.087,2.99,0.482,4.943,0.487,1.02,0.048,0.034,6.66,0.093,0.089,1.24,0.011,0.011,11.36,1.357,1.578,507.2,0.56,0.57,0,1,0
BD+125070,1.718384032,12.83454821,35,4749,50,2.815,0.116,-0.18,0.045,1.068,0.076,3.259,0.491,4.776,0.579,1.14,0.079,0.08,8.39,0.228,0.217,1.49,0.023,0.024,5.95,1.608,1.113,513.79,0.99,0.95,0,1,0
BD+153012,247.8298992,14.86280773,66,4620,73,2.633,0.172,0.24,0.044,1.267,0.113,3.434,0.412,5.098,0.415,1.2,0.085,0.099,8.27,0.119,0.118,1.41,0.012,0.012,6.69,2.173,1.311,512.28,1.12,0.81,0,1,0
BD+154266A,312.2918533,15.7769062,65,4661,53,2.794,0.131,0.13,0.043,1.196,0.081,3.154,0.507,4.97,0.513,1,0.033,0.018,7.24,0.16,0.149,1.29,0.016,0.015,12.45,0.735,1.257,509.87,0.72,0.68,0,1,0
BD+16328,40.40795402,16.73600343,36,5378,50,3.296,0.122,-0.02,0.045,1.289,0.058,3.828,0.411,4.691,0.524,2.19,0.045,0.07,6.62,0.129,0.125,1.44,0.016,0.017,0.83,0.054,0.03,519.78,1.87,2.03,0,1,0
BD-025297,308.0742379,-2.07515004,28,5036,67,3.203,0.163,0.17,0.045,1.234,0.102,3.123,0.473,3.639,0.576,2.26,0.082,0.127,7.36,0.242,0.234,1.47,0.03,0.031,0.83,0.133,0.068,522.31,2.83,2.68,0,0.999,0.001
BD-025910,348.3917211,-1.987941718,43,5175,50,3.311,0.116,0.13,0.043,1.196,0.061,3.256,0.396,3.804,0.43,2.01,0.109,0.029,5.97,0.133,0.132,1.32,0.016,0.018,1.14,0.042,0.148,497.89,17.59,2.17,0,1,0
BD-06908,66.73093186,-5.997249644,35,4862,57,2.998,0.143,-0.04,0.043,1.158,0.082,3.132,0.479,3.571,0.546,1.27,0.088,0.093,5.64,0.145,0.133,1.19,0.022,0.021,4.42,1.249,0.864,500.19,1.04,0.96,0,1,0
BD-07164,15.54302129,-7.085285196,35,5125,57,3.377,0.136,-0.04,0.045,1.076,0.093,3.016,0.409,3.757,0.548,1.6,0.071,0.088,4.67,0.094,0.086,1.1,0.017,0.017,1.98,0.373,0.221,491.77,1.68,1.6,0,1,0
BD-09279,21.96250267,-8.789842879,37,5077,53,3.167,0.123,-0.01,0.044,1.102,0.077,3.282,0.43,3.713,0.533,1.6,0.085,0.084,5.38,0.135,0.135,1.2,0.021,0.021,2,0.361,0.271,496.77,1.64,1.83,0,1,0
BD-103347,177.5479511,-11.5236501,63,4715,54,3.086,0.126,0.2,0.043,1.064,0.091,2.712,0.441,4.954,0.446,1.24,0.057,0.037,5.8,0.086,0.083,1.16,0.011,0.01,5.82,0.578,0.799,500.61,0.64,0.57,0,1,0
BD-1119,2.768754866,-10.87786296,28,4934,64,2.875,0.181,0.12,0.045,1.536,0.099,3.55,0.388,4.148,0.426,2.07,0.062,0.081,8.79,0.328,0.237,1.57,0.028,0.019,1.13,0.075,0.089,639.77,5.71,126.71,0,0.389,0.611
BD-14302,24.0163842,-13.5846593,26,4807,68,3.017,0.161,-0.01,0.045,1.14,0.104,2.997,0.498,3.671,0.663,1.17,0.073,0.08,5.61,0.117,0.111,1.17,0.018,0.018,6.03,1.572,1.081,500.34,1.11,1.01,0,1,0
BD-15833,69.89379314,-15.70772154,41,4982,51,3.115,0.121,-0.02,0.043,1.089,0.07,3.164,0.435,3.428,0.502,1.45,0.085,0.084,6.42,0.127,0.122,1.31,0.016,0.016,2.87,0.587,0.468,504.65,0.88,1,0,1,0
BD-17922,69.61044358,-16.78218195,35,4790,58,2.992,0.142,-0.07,0.044,1.083,0.089,3.011,0.479,3.057,0.59,1,0.062,0.05,5.15,0.094,0.095,1.09,0.016,0.017,10.03,2.046,1.836,499.25,0.82,0.81,0,1,0
CD-242335,66.54653426,-24.19939136,40,5142,58,3.213,0.135,0,0.044,1.035,0.087,3.354,0.439,4.793,0.569,1.95,0.118,0.079,6.57,0.206,0.196,1.39,0.027,0.026,1.13,0.12,0.148,502.01,18.78,1.96,0,1,0
CD-2516784,1.36150524,-24.77790826,37,4899,52,2.975,0.13,0,0.043,1.137,0.074,3.248,0.471,3.204,0.624,1.51,0.085,0.093,6.32,0.155,0.146,1.3,0.02,0.02,2.52,0.568,0.401,503.72,1.12,1.4,0,1,0
CD-251745,62.20068574,-24.78540591,39,5119,61,3.105,0.145,-0.33,0.047,1.085,0.09,3.494,0.471,3.603,0.624,1.46,0.097,0.112,5.7,0.165,0.159,1.27,0.024,0.024,2.27,0.669,0.407,502.07,1.2,1.23,0,1,0
CD-2613981,288.8574189,-25.89883252,32,4805,96,2.878,0.215,0.03,0.044,0.76,0.261,3.245,0.598,3.607,0.703,0.98,0.028,0.016,5.97,0.147,0.134,1.16,0.019,0.018,12.52,0.654,1.111,504.23,0.77,0.75,0,1,0
CD-2718,2.375016114,-26.96265662,37,5198,50,3.286,0.118,-0.07,0.045,1.077,0.075,3.36,0.404,3.794,0.475,1.92,0.035,0.05,5.79,0.149,0.145,1.31,0.025,0.021,1.13,0.071,0.032,497.47,1.51,1.43,0,1,0
CD-2816392,301.3870128,-28.10480969,34,4899,54,3.006,0.134,0.09,0.044,1.175,0.083,3.192,0.47,3.761,0.517,1.31,0.087,0.08,5.72,0.134,0.127,1.18,0.019,0.019,4.35,0.994,0.794,500.38,0.89,0.88,0,1,0
CD-3018265,313.7787531,-29.78147897,27,4948,76,2.971,0.172,0.15,0.045,1.138,0.131,3.353,0.528,3.586,0.619,2.09,0.043,0.04,8.55,0.38,0.575,1.52,0.054,0.052,1.11,0.046,0.061,530.39,113.05,8.82,0,0.648,0.352
CD-3018710,323.9414346,-30.18830156,29,4799,60,2.884,0.138,-0.16,0.045,1.116,0.087,3.224,0.499,3.233,0.695,1.37,0.045,0.013,6.95,0.098,0.116,1.34,0.01,0.014,3.68,0.124,0.405,507.52,0.47,0.73,0,1,0
CD-324787,120.9984402,-32.41936946,61,5209,50,3.231,0.09,-0.04,0.044,1.137,0.048,3.488,0.391,5.043,0.406,2.25,0.042,0.047,7.02,0.118,0.117,1.5,0.015,0.016,0.76,0.035,0.025,521.97,1.61,1.55,0,1,0
CD-329820,211.0793675,-33.33891239,54,4849,68,3.213,0.158,0.31,0.043,1.037,0.121,2.719,0.459,4.854,0.467,1.38,0.086,0.092,4.98,0.086,0.088,1.05,0.014,0.014,4.17,1.077,0.78,495.41,0.66,0.72,0,1,0
CD-331236,52.11918849,-32.75506445,26,4801,65,3.094,0.146,0.11,0.045,1.094,0.112,2.844,0.466,3.632,0.633,1.24,0.087,0.087,5.52,0.128,0.122,1.15,0.019,0.019,5.29,1.429,1.067,499.32,1.08,0.93,0,1,0
CD-339045,201.7033206,-33.867318,16,5026,111,3.295,0.265,0.12,0.057,1.44,0.253,2.985,0.442,3.822,0.69,1.43,0.112,0.13,5.71,0.136,0.123,1.19,0.02,0.02,3.21,1.235,0.674,500.17,1.04,1.19,0,1,0
CD-361284,51.23095297,-36.21139954,36,5097,55,3.082,0.137,0.06,0.043,1.144,0.081,3.482,0.462,4.334,0.499,2.44,0.047,0.052,8,0.159,0.159,1.59,0.018,0.016,0.65,0.03,0.024,525.85,1.33,1.29,0,0.999,0.001
CD-3613943,302.8165186,-36.36561804,35,4954,59,3.105,0.136,0.16,0.044,1.138,0.088,3.124,0.455,3.556,0.536,1.73,0.109,0.117,6.5,0.211,0.198,1.32,0.028,0.028,1.75,0.418,0.262,500.67,2.08,2.02,0,1,0
CD-371312,52.3537262,-37.01171468,38,4786,63,2.357,0.163,0.07,0.043,1.327,0.089,4.153,0.635,4.111,0.743,1.36,0.094,0.093,9.2,0.203,0.208,1.54,0.018,0.02,3.73,0.957,0.718,516.31,1.01,0.96,0,1,0
CD-3913785,306.3828923,-39.52848545,38,4798,71,2.365,0.181,0.16,0.043,1.323,0.104,4.16,0.653,3.885,0.676,0.96,0.062,0.031,10.7,0.264,0.114,1.66,0.019,0.008,11.88,1.245,2.176,663.03,2.85,3,0,0.001,0.999
CD-397574,184.9359372,-40.40473564,61,5269,50,3.238,0.103,0.04,0.045,1.327,0.047,3.631,0.401,6.307,0.436,2.48,0.041,0.047,7.98,0.216,0.217,1.61,0.022,0.023,0.61,0.023,0.021,525.15,1.59,1.68,0,1,0
CD-431047,50.60228795,-43.52620726,32,5147,68,3.383,0.164,-0.04,0.045,1.082,0.103,3.056,0.45,3.05,0.693,1.63,0.08,0.089,4.82,0.168,0.156,1.13,0.029,0.028,1.87,0.339,0.231,492.51,1.8,1.78,0,1,0
CD-452254,89.59204224,-45.21531653,39,4859,55,3.079,0.128,0.08,0.043,1.067,0.084,2.982,0.448,3.372,0.594,1.34,0.092,0.093,5.43,0.089,0.081,1.15,0.013,0.013,3.95,1.05,0.75,498.73,0.66,0.69,0,1,0
CD-5012869,303.491947,-50.46594092,38,4752,86,2.846,0.207,0.24,0.045,1.342,0.125,3.259,0.415,4.248,0.44,1.38,0.142,0.128,7.77,0.623,0.543,1.39,0.068,0.063,4.05,1.597,1.131,509.97,2.38,2.26,0,0.999,0.001
CD-5112230,296.5969745,-51.3210936,39,5103,56,3.403,0.126,-0.15,0.044,0.926,0.092,2.917,0.392,3.285,0.552,1.28,0.177,0.169,3.41,0.662,0.548,0.84,0.154,0.155,3.81,2.457,1.352,483.08,5.86,5.5,0,1,0
CD-529252,297.2862486,-52.07867029,36,4961,54,3.119,0.118,-0.4,0.046,1.005,0.079,3.113,0.432,3.328,0.625,1,0.068,0.065,5.24,0.119,0.114,1.16,0.019,0.019,8.05,2.067,1.595,499.47,1.1,1.02,0,1,0
CD-581114,79.00863518,-58.5079562,35,4930,67,2.961,0.172,0.05,0.044,1.2,0.1,3.335,0.523,5.012,0.539,1.52,0.089,0.086,5.45,0.086,0.089,1.19,0.013,0.013,2.49,0.508,0.414,498.24,1.23,1.82,0,1,0
CD-662575,341.0176279,-66.22577544,40,4942,55,2.905,0.138,-0.05,0.044,1.247,0.07,3.461,0.496,4.442,0.571,2.07,0.035,0.029,8.36,0.194,0.36,1.58,0.021,0.043,1.01,0.076,0.048,643.07,1.58,110.85,0,0.259,0.741
